OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
125,PIEL2,Pinus eldarica,Pinus,eldarica,,Afghan pine,"pine, Afghan",,evergreen,needleleaved,2,no
168,PTTR,Ptelea trifoliata,Ptelea,trifoliata,,Common hoptree,"hoptree, Common",,deciduous,broadleaved,3,no
99,LIST,Liquidambar styraciflua,Liquidambar,styraciflua,,Sweetgum,Sweetgum,American sweetgum,deciduous,broadleaved,7,yes
246,MASY2,Malus sylvestris Thunderchild,Malus,sylvestris,Thunderchild,Thunderchild crabapple,"crabapple, Thunderchild",,deciduous,broadleaved,0,yes
190,QU,Quercus spp,Quercus,spp,,oak unknown species,oak unknown species,,deciduous,broadleaved,57,no
62,CRCRIN,Crataegus crus-galli Inermis,Crataegus,crus-galli,Inermis,Thornless Cockspur hawthorn,"hawthorn, Thornless Cockspur",,deciduous,broadleaved,312,yes
123,PIDE,Pinus densiflora Umbraculifera,Pinus,densiflora,Umbraculifera,Japanese Umbrella pine,"pine, Japanese Umbrella",Japanese Red pine,evergreen,needleleaved,12,no
160,PRSA,Prunus sargentii,Prunus,sargentii,,Sargent cherry,"cherry, Sargent",,deciduous,broadleaved,4,no
197,RONE,Robinia neomexicana,Robinia,neomexicana,,New Mexico locust,"locust, New Mexico",,deciduous,broadleaved,1,no
83,FR,Fraxinus spp,Fraxinus,spp,,ash unknown species,ash unknown species,,deciduous,broadleaved,11,no
59,COCO1,Cotinus coggygria,Cotinus,coggygria,,Smoke tree,Smoke tree,,deciduous,broadleaved,34,no
76,FRAM,Fraxinus americana,Fraxinus,americana,,White ash,"ash, White",,deciduous,broadleaved,731,no
34,BEPE,Betula pendula,Betula,pendula,,European White birch,"birch, European White",,deciduous,broadleaved,2,no
206,SA,Salix spp,Salix,spp,,willow unknown species,willow unknown species,,deciduous,broadleaved,646,no
29,AL,Alnus spp,Alnus,spp,,alder unknown species,alder unknown species,,deciduous,broadleaved,2,no
70,DIVI,Diospyros virginiana,Diospyros,virginiana,,Common persimmon,"persimmon, Common",American persimmon,deciduous,broadleaved,0,no
93,JU,Juniperus spp,Juniperus,spp,,juniper unknown species,juniper unknown species,,evergreen,needleleaved,654,no
89,JURE,Juglans regia,Juglans,regia,,English walnut,"walnut, English",,deciduous,broadleaved,2,no
109,MASY2,Malus sylvestris,Malus,sylvestris,,Flowering crabapple,"crabapple, Flowering",European crabapple,deciduous,broadleaved,2723,yes
181,QUMA1,Quercus macrocarpa,Quercus,macrocarpa,,Bur oak,"oak, Bur",,deciduous,broadleaved,618,yes
150,POTR1,Populus tremuloides,Populus,tremuloides,,Quaking aspen,"aspen, Quaking",,deciduous,broadleaved,657,no
53,CH,Chamaecyparis spp,Chamaecyparis,spp,,false cypress unknown species,false cypress unknown species,,evergreen,needleleaved,1,no
180,QULY,Quercus lyrata,Quercus,lyrata,,Overcup oak,"oak, Overcup",,deciduous,broadleaved,1,no
151,POAC5,Populus x acuminata,Populus,x acuminata,,Lanceleaf cottonwood,"cottonwood, Lanceleaf",,deciduous,broadleaved,80,yes
104,MASO,Magnolia x soulangiana,Magnolia,x soulangiana,,Saucer magnolia,"magnolia, Saucer",,deciduous,broadleaved,2,yes
226,ULGL,Ulmus glabra,Ulmus,glabra,,Wych elm,"elm, Wych",,deciduous,broadleaved,13,no
204,SAMA,Salix matsudana,Salix,matsudana,,Corkscrew willow,"willow, Corkscrew",,deciduous,broadleaved,2,no
72,EUSP,Euonymus spp,Euonymus,spp,,spindletree unknown species,spindletree unknown species,,deciduous,broadleaved,1,no
106,MAPU,Malus pumila,Malus,pumila,,Wild apple,"apple, Wild",Paradise apple,deciduous,broadleaved,18,no
248,CALA,Carya laciniosa,Carya,laciniosa,,Shellbark hickory,"hickory, Shellbark",,deciduous,broadleaved,0,yes
129,PIMU,Pinus mugo,Pinus,mugo,,Mugo pine,"pine, Mugo",Sweet Mountain pine,evergreen,needleleaved,249,no
173,QUAC,Quercus acutissima,Quercus,acutissima,,Sawtooth oak,"oak, Sawtooth",,deciduous,broadleaved,1,no
171,PY,Pyrus spp,Pyrus,spp,,pear unknown species,pear unknown species,,deciduous,broadleaved,33,no
94,JUVI,Juniperus virginiana,Juniperus,virginiana,,Eastern Red cedar,"cedar, Eastern Red",,evergreen,needleleaved,157,yes
182,QUMU,Quercus muehlenbergii,Quercus,muehlenbergii,,Chinkapin oak,"oak, Chinkapin",,deciduous,broadleaved,33,yes
84,FRVEMO,Fraxinus velutina Modesto,Fraxinus,velutina,Modesto,Modesto Velvet ash,"ash, Modesto Velvet",,deciduous,broadleaved,1,no
118,PIOM,Picea omorika,Picea,omorika,,Serbian spruce,"spruce, Serbian",,evergreen,needleleaved,3,no
5,ACGI,Acer ginnala,Acer,ginnala,,Amur maple,"maple, Amur",,deciduous,broadleaved,393,yes
189,QUSH,Quercus shumardii,Quercus,shumardii,,Shumard oak,"oak, Shumard",,deciduous,broadleaved,34,yes
15,ACRU,Acer rubrum,Acer,rubrum,,Red maple,"maple, Red",,deciduous,broadleaved,488,no
45,CEATGL,Cedrus atlantica Glauca,Cedrus,atlantica,Glauca,Blue Atlas cedar,"cedar, Blue Atlas",,evergreen,needleleaved,0,yes
210,SO,Sorbus spp,Sorbus,spp,,mountain ash unknown species,mountain ash unknown species,,deciduous,broadleaved,1,no
195,RHSP,Rhus spp,Rhus,spp,,sumac unknown species,sumac unknown species,,deciduous,broadleaved,51,no
60,CRPH,Crataegus ambigua,Crataegus,ambigua,,Russian hawthorn,"hawthorn, Russian",,deciduous,broadleaved,100,yes
117,PIGL1,Picea glauca,Picea,glauca,,White spruce,"spruce, White",,evergreen,needleleaved,73,yes
79,FRMA,Fraxinus mandshurica,Fraxinus,mandshurica,,Manchurian ash,"ash, Manchurian",,deciduous,broadleaved,2,no
